target_name	tlen	query_name	qlen	fullseq_Evalue	dom_N	dom_of	dom_cEvalue	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	hmm_frac
108_T168-R1	887	Rx_N2	137	3.7999999999999994e-48	1	3	2.8e-48	1	135	1	139	1	141	0.9781021897810219
108_T168-R1	887	pbNB-ARC	338	9.499999999999999e-102	1	2	9.499999999999999e-102	2	338	155	488	154	488	0.9940828402366864
108_T168-R1	887	LRR_8	61	3e-9	1	5	0.41	23	56	515	546	513	548	0.5409836065573771
108_T168-R1	887	LRR_8	61	3e-9	2	5	3e-9	11	58	556	603	555	606	0.7704918032786885
108_T168-R1	887	LRR_8	61	3e-9	3	5	0.0013	16	61	609	652	603	652	0.7377049180327869
108_T168-R1	887	LRR_8	61	3e-9	4	5	1.6	24	45	689	709	685	729	0.3442622950819672
108_T168-R1	887	LRR_4	43	3.8e-5	6	6	1.6	14	28	825	838	794	843	0.32558139534883723
108_T207-R1	950	Rx_N2	137	8.1e-50	1	1	1.4999999999999998e-49	1	135	1	139	1	141	0.9781021897810219
108_T207-R1	950	pbNB-ARC	338	2.8999999999999993e-120	1	1	4.4999999999999986e-120	4	338	156	483	154	483	0.9881656804733728
108_T207-R1	950	LRR_8	61	2.5e-14	2	4	2.5e-14	2	61	535	594	534	594	0.9672131147540983
108_T207-R1	950	LRR_8	61	2.5e-14	3	4	0.11	22	55	602	634	592	640	0.5409836065573771
108_T207-R1	950	LRR_4	43	1.1e-9	5	7	0.54	15	30	692	707	692	715	0.3488372093023256
108_T207-R1	950	LRR_8	61	2.5e-14	4	4	3	2	34	732	763	731	783	0.5245901639344263
108_T207-R1	950	LRR_1	23	4.9e-4	5	5	1.1	4	17	814	827	798	832	0.5652173913043478
108_T208-R1	973	Rx_N2	137	4.1e-47	1	1	7.8e-47	1	136	1	141	1	142	0.9854014598540146
108_T208-R1	973	pbNB-ARC	338	2.9e-112	1	1	4.599999999999999e-111	4	337	157	471	155	472	0.985207100591716
108_T208-R1	973	LRR_8	61	2.5e-13	1	4	1.4e-10	2	57	524	579	523	583	0.9016393442622951
108_T208-R1	973	LRR_4	43	1.5e-6	3	6	0.77	3	30	619	650	618	664	0.627906976744186
108_T208-R1	973	LRR_4	43	1.5e-6	4	6	0.64	15	33	681	698	681	702	0.4186046511627907
108_T208-R1	973	LRR_8	61	2.5e-13	4	4	4.4	2	21	725	745	723	755	0.3114754098360656
108_T208-R1	973	LRR_4	43	1.5e-6	6	6	2	12	30	771	789	768	823	0.4186046511627907
108_T221-R1	881	Rx_N	93	2.8000000000000003e-23	1	1	4.2e-23	1	87	5	91	5	129	0.9247311827956989
108_T221-R1	881	pbNB-ARC	338	3.699999999999999e-97	1	2	1.1e-42	2	127	166	288	165	291	0.3698224852071006
108_T221-R1	881	pbNB-ARC	338	3.699999999999999e-97	2	2	1.7999999999999997e-55	160	337	290	473	286	474	0.5236686390532544
108_T256-R1	900	Rx_N	93	9.1e-23	1	1	1.6000000000000002e-22	1	79	3	81	3	124	0.8387096774193549
108_T256-R1	900	pbNB-ARC	338	1.7999999999999997e-100	1	1	3.4999999999999996e-100	2	336	162	502	161	504	0.9881656804733728
108_T256-R1	900	LRR_8	61	6e-7	1	7	0.023	11	56	563	609	549	611	0.7377049180327869
108_T256-R1	900	LRR_8	61	6e-7	3	7	2.6e-5	2	56	603	656	602	658	0.8852459016393442
108_T256-R1	900	LRR_8	61	6e-7	4	7	0.26	23	55	667	700	659	702	0.5245901639344263
108_T256-R1	900	LRR_8	61	6e-7	5	7	2.4	35	59	706	730	693	731	0.39344262295081966
108_T256-R1	900	LRR_4	43	5.1e-4	5	7	6.7	12	28	750	766	743	766	0.37209302325581395
108_T256-R1	900	LRR_8	61	6e-7	6	7	0.093	2	34	769	801	768	826	0.5245901639344263
108_T256-R1	900	LRR_8	61	6e-7	7	7	0.078	1	28	841	867	841	882	0.4426229508196721
108_T258-R1	908	Rx_N	93	4.5e-20	1	1	8.5e-20	2	85	6	89	5	108	0.8924731182795699
108_T258-R1	908	pbNB-ARC	338	8.799999999999999e-102	1	1	1.3e-101	3	336	164	504	162	506	0.985207100591716
108_T258-R1	908	LRR_8	61	1.8e-5	2	3	0.0023	2	56	610	663	609	665	0.8852459016393442
108_T258-R1	908	LRR_8	61	1.8e-5	3	3	0.013	39	60	718	738	699	738	0.3442622950819672
108_T269-R1	890	Rx_N2	137	4e-53	1	2	2.3999999999999996e-53	1	136	1	142	1	143	0.9854014598540146
108_T269-R1	890	pbNB-ARC	338	3.6e-114	1	1	6.8e-114	2	338	157	488	156	488	0.9940828402366864
108_T269-R1	890	LRR_8	61	2.7e-15	2	6	1.7e-13	3	59	541	597	539	599	0.9180327868852459
108_T269-R1	890	LRR_8	61	2.7e-15	4	6	0.13	24	60	609	644	597	645	0.5901639344262295
108_T269-R1	890	LRR_4	43	1.3e-10	6	7	0.95	7	37	751	783	745	787	0.6976744186046512
108_T269-R1	890	LRR_4	43	1.3e-10	7	7	0.06	2	41	802	843	801	845	0.9069767441860465
108_T317-R1	927	Rx_N	93	3.2e-17	1	1	6.2e-17	4	82	8	92	5	117	0.8387096774193549
108_T317-R1	927	pbNB-ARC	338	1.8e-128	1	1	3.5e-128	2	338	172	514	171	514	0.9940828402366864
108_T317-R1	927	LRR_8	61	5.5e-10	1	5	6.7e-5	19	60	575	615	559	616	0.6721311475409836
108_T317-R1	927	LRR_8	61	5.5e-10	2	5	2.6e-4	18	54	620	655	617	657	0.5901639344262295
108_T317-R1	927	LRR_4	43	6.5e-8	5	8	3.7	11	24	729	741	724	750	0.3023255813953488
108_T317-R1	927	LRR_8	61	5.5e-10	3	5	0.0014	18	54	772	808	769	810	0.5901639344262295
108_T317-R1	927	LRR_4	43	6.5e-8	7	8	1.8	19	35	822	839	803	846	0.37209302325581395
108_T317-R1	927	LRR_8	61	5.5e-10	5	5	0.31	3	33	852	882	850	890	0.4918032786885246
108_T319.1-R1	839	Rx_N2	137	1.7e-32	1	2	9.9e-33	43	136	1	99	1	100	0.6788321167883211
108_T319.1-R1	839	pbNB-ARC	338	2.2e-103	1	1	3.6e-103	2	338	114	447	113	447	0.9940828402366864
108_T319.1-R1	839	LRR_8	61	3.9e-15	2	5	3.9e-15	1	59	498	557	498	559	0.9508196721311475
108_T319.1-R1	839	LRR_8	61	3.9e-15	3	5	0.0014	6	54	552	598	552	605	0.7868852459016393
108_T319.1-R1	839	LRR_8	61	3.9e-15	5	5	0.094	1	35	698	731	698	761	0.5573770491803278
108_T319.1-R1	839	LRR_4	43	4.5e-12	6	6	0.049	2	38	753	793	752	797	0.8372093023255814
108_T319.2-R1	895	Rx_N2	137	3.5e-51	1	3	2.1e-51	1	135	1	141	1	143	0.9781021897810219
