# --- full sequence --- -------------- this domain ------------- hmm coord ali coord env coord
# target name accession tlen query name accession qlen E-value score bias # of c-Evalue i-Evalue score bias from to from to from to acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108_T168-R1 - 887 AAA PF00004.31 132 2.4e-05 15.3 0.0 1 1 7.9e-06 5.8e-05 14.1 0.0 3 67 179 265 177 271 0.74 -
108_T461-R1 - 910 AAA PF00004.31 132 3.7e-05 14.7 0.0 1 1 1.1e-05 8e-05 13.7 0.0 3 23 180 205 178 268 0.61 -
108_T258-R1 - 908 AAA PF00004.31 132 4.3e-05 14.5 0.0 1 1 1.2e-05 8.5e-05 13.6 0.0 3 67 188 275 186 277 0.68 -
108_T258-R1 - 908 AAA_14 PF13173.8 130 9.9e-08 22.6 0.5 1 2 2.5e-07 6.1e-07 20.1 0.2 3 82 184 284 182 306 0.67 -
108_T258-R1 - 908 AAA_14 PF13173.8 130 9.9e-08 22.6 0.5 2 2 0.93 2.3 -1.2 0.0 107 129 389 416 384 416 0.75 -
108_T256-R1 - 900 AAA_14 PF13173.8 130 2.6e-07 21.3 0.3 1 1 9e-07 2.2e-06 18.3 0.3 3 79 183 281 181 307 0.61 -
108_T483-R1 - 902 AAA_14 PF13173.8 130 3.6e-07 20.8 0.0 1 2 7.3e-07 1.8e-06 18.6 0.0 3 97 184 297 182 308 0.58 -
108_T483-R1 - 902 AAA_14 PF13173.8 130 3.6e-07 20.8 0.0 2 2 3.7 9.1 -3.1 0.0 9 41 385 413 384 432 0.73 -
108_T413-R1 - 912 AAA_14 PF13173.8 130 5.1e-07 20.3 0.0 1 1 7.1e-07 1.7e-06 18.6 0.0 3 80 189 286 187 304 0.56 -
108_T453-R1 - 911 AAA_14 PF13173.8 130 1.1e-06 19.2 0.0 1 1 2.3e-06 5.6e-06 17.0 0.0 3 97 186 299 184 308 0.60 -
108_T221-R1 - 881 AAA_14 PF13173.8 130 1.6e-06 18.8 0.0 1 1 2.3e-06 5.6e-06 17.0 0.0 3 80 187 284 185 297 0.57 -
108_T390-R1 - 907 AAA_14 PF13173.8 130 1.7e-06 18.7 0.0 1 1 2.2e-06 5.4e-06 17.0 0.0 3 97 184 297 182 310 0.59 -
108_T317-R1 - 927 AAA_14 PF13173.8 130 3.4e-05 14.4 0.1 1 1 7.5e-05 0.00018 12.1 0.1 3 73 194 289 192 313 0.60 -
108_T461-R1 - 910 AAA_14 PF13173.8 130 4e-05 14.2 0.1 1 1 5.7e-05 0.00014 12.5 0.1 3 97 176 289 174 303 0.60 -
108_T390-R1 - 907 AAA_16 PF13191.8 170 5.4e-09 27.2 0.2 1 2 4.7 4.7 -1.9 0.1 2 21 31 50 30 59 0.81 -
108_T390-R1 - 907 AAA_16 PF13191.8 170 5.4e-09 27.2 0.2 2 2 1.9e-08 1.9e-08 25.4 0.0 2 83 163 232 162 274 0.70 -
108_T473-R1 - 892 AAA_16 PF13191.8 170 4.8e-08 24.1 0.1 1 2 6.4 6.4 -2.4 0.0 5 24 32 51 12 93 0.74 -
108_T473-R1 - 892 AAA_16 PF13191.8 170 4.8e-08 24.1 0.1 2 2 3e-07 3e-07 21.5 0.0 11 88 161 225 158 266 0.64 -
108_T207-R1 - 950 AAA_16 PF13191.8 170 6.8e-08 23.6 0.0 1 2 7.7 7.7 -2.6 0.0 72 103 18 51 4 90 0.47 -
108_T207-R1 - 950 AAA_16 PF13191.8 170 6.8e-08 23.6 0.0 2 2 2.4e-07 2.4e-07 21.8 0.0 10 127 159 323 156 337 0.65 -
108_T256-R1 - 900 AAA_16 PF13191.8 170 6.9e-08 23.6 0.0 1 1 1.9e-07 1.9e-07 22.1 0.0 2 143 162 273 161 285 0.61 -
108_T453-R1 - 911 AAA_16 PF13191.8 170 8.7e-08 23.2 0.3 1 2 4.1 4.1 -1.7 0.1 2 22 31 51 30 62 0.82 -
